association_id,gene_id,disease_id,confidence_score,evidence_level
ASSOC02505,GENE0785,DIS0165,0.61,Strong
ASSOC02506,GENE0394,DIS0116,0.71,Moderate
ASSOC02507,GENE0831,DIS0361,0.99,Strong
ASSOC02508,GENE0474,DIS0112,0.63,Emerging
ASSOC02509,GENE0660,DIS0052,0.71,Emerging
ASSOC02510,GENE1330,DIS0213,0.55,Strong
ASSOC02511,GENE1015,DIS0195,0.84,Moderate
ASSOC02512,GENE0580,DIS0487,0.74,Strong
ASSOC02513,GENE1346,DIS0445,0.98,Moderate
ASSOC02514,GENE0520,DIS0334,0.93,Moderate
ASSOC02515,GENE1454,DIS0437,0.78,Emerging
ASSOC02516,GENE0648,DIS0312,0.81,Moderate
ASSOC02517,GENE0155,DIS0007,0.92,Strong
ASSOC02518,GENE0598,DIS0071,0.62,Emerging
ASSOC02519,GENE0473,DIS0008,0.76,Moderate
ASSOC02520,GENE1440,DIS0172,0.61,Strong
ASSOC02521,GENE0010,DIS0426,0.86,Strong
ASSOC02522,GENE0126,DIS0499,0.78,Emerging
ASSOC02523,GENE0522,DIS0231,0.57,Moderate
ASSOC02524,GENE0001,DIS0500,0.83,Strong
ASSOC02525,GENE0079,DIS0182,0.61,Moderate
ASSOC02526,GENE0061,DIS0051,0.89,Strong
ASSOC02527,GENE0083,DIS0118,0.76,Moderate
ASSOC02528,GENE0545,DIS0228,0.86,Moderate
ASSOC02529,GENE0682,DIS0036,0.83,Moderate
ASSOC02530,GENE1151,DIS0302,0.59,Moderate
ASSOC02531,GENE0226,DIS0192,0.61,Strong
ASSOC02532,GENE0864,DIS0221,0.95,Strong
ASSOC02533,GENE0724,DIS0097,0.86,Moderate
ASSOC02534,GENE0524,DIS0412,0.81,Strong
ASSOC02535,GENE0628,DIS0146,0.51,Strong
ASSOC02536,GENE0677,DIS0299,0.52,Emerging
ASSOC02537,GENE1297,DIS0251,0.59,Moderate
ASSOC02538,GENE0265,DIS0284,0.98,Emerging
ASSOC02539,GENE1180,DIS0181,0.6,Emerging
ASSOC02540,GENE0354,DIS0243,0.85,Strong
ASSOC02541,GENE0413,DIS0374,0.97,Emerging
ASSOC02542,GENE0586,DIS0061,0.9,Strong
ASSOC02543,GENE0159,DIS0305,0.54,Strong
ASSOC02544,GENE0250,DIS0437,0.63,Moderate
ASSOC02545,GENE0317,DIS0337,0.66,Emerging
ASSOC02546,GENE1475,DIS0493,0.98,Moderate
ASSOC02547,GENE0680,DIS0394,0.98,Emerging
ASSOC02548,GENE1433,DIS0364,0.79,Emerging
ASSOC02549,GENE1136,DIS0252,0.97,Strong
ASSOC02550,GENE1432,DIS0272,0.92,Emerging
ASSOC02551,GENE1495,DIS0072,0.95,Emerging
ASSOC02552,GENE0864,DIS0448,0.91,Moderate
ASSOC02553,GENE1081,DIS0084,0.87,Strong
ASSOC02554,GENE0865,DIS0330,0.56,Emerging
ASSOC02555,GENE0624,DIS0060,0.94,Emerging
ASSOC02556,GENE0300,DIS0240,0.72,Emerging
ASSOC02557,GENE0790,DIS0160,0.53,Emerging
ASSOC02558,GENE0747,DIS0252,0.7,Strong
ASSOC02559,GENE1181,DIS0173,0.79,Emerging
ASSOC02560,GENE0442,DIS0042,0.72,Moderate
ASSOC02561,GENE0944,DIS0367,0.51,Emerging
ASSOC02562,GENE0626,DIS0465,0.66,Moderate
ASSOC02563,GENE1413,DIS0086,0.51,Strong
ASSOC02564,GENE0719,DIS0188,0.88,Strong
ASSOC02565,GENE0337,DIS0373,0.99,Emerging
ASSOC02566,GENE1241,DIS0435,0.85,Strong
ASSOC02567,GENE0217,DIS0198,0.89,Strong
ASSOC02568,GENE0096,DIS0351,0.61,Moderate
ASSOC02569,GENE0381,DIS0312,0.73,Moderate
ASSOC02570,GENE0615,DIS0128,0.68,Moderate
ASSOC02571,GENE0808,DIS0206,0.6,Strong
ASSOC02572,GENE0540,DIS0117,0.62,Moderate
ASSOC02573,GENE1129,DIS0275,0.58,Strong
ASSOC02574,GENE0569,DIS0335,0.89,Moderate
ASSOC02575,GENE0925,DIS0154,0.82,Moderate
ASSOC02576,GENE0692,DIS0276,0.65,Emerging
ASSOC02577,GENE0785,DIS0341,0.78,Strong
ASSOC02578,GENE0667,DIS0211,0.7,Emerging
ASSOC02579,GENE1109,DIS0435,0.58,Moderate
ASSOC02580,GENE0143,DIS0107,0.61,Strong
ASSOC02581,GENE1258,DIS0253,0.89,Moderate
ASSOC02582,GENE0428,DIS0386,0.52,Moderate
ASSOC02583,GENE0672,DIS0457,0.91,Strong
ASSOC02584,GENE0399,DIS0356,0.86,Emerging
ASSOC02585,GENE1150,DIS0083,0.56,Strong
ASSOC02586,GENE1276,DIS0416,0.91,Strong
ASSOC02587,GENE0037,DIS0029,0.9,Emerging
ASSOC02588,GENE0034,DIS0475,0.54,Moderate
ASSOC02589,GENE1389,DIS0004,0.84,Moderate
ASSOC02590,GENE0313,DIS0186,0.95,Moderate
ASSOC02591,GENE0809,DIS0065,0.73,Emerging
ASSOC02592,GENE1154,DIS0244,0.74,Emerging
ASSOC02593,GENE1377,DIS0474,0.84,Strong
ASSOC02594,GENE0458,DIS0325,0.64,Moderate
ASSOC02595,GENE0817,DIS0417,0.61,Strong
ASSOC02596,GENE0223,DIS0324,0.85,Strong
ASSOC02597,GENE0935,DIS0154,0.81,Moderate
ASSOC02598,GENE0367,DIS0237,0.63,Strong
ASSOC02599,GENE0918,DIS0151,0.76,Emerging
ASSOC02600,GENE0735,DIS0354,0.67,Emerging
ASSOC02601,GENE0128,DIS0492,0.56,Emerging
ASSOC02602,GENE0978,DIS0417,0.87,Emerging
ASSOC02603,GENE0238,DIS0007,0.88,Emerging
ASSOC02604,GENE0315,DIS0424,0.69,Emerging
ASSOC02605,GENE0141,DIS0327,0.86,Moderate
ASSOC02606,GENE1444,DIS0287,0.76,Emerging
ASSOC02607,GENE0573,DIS0268,0.58,Emerging
ASSOC02608,GENE0316,DIS0051,0.78,Emerging
ASSOC02609,GENE0517,DIS0173,0.59,Emerging
ASSOC02610,GENE0265,DIS0148,0.93,Strong
ASSOC02611,GENE0213,DIS0337,0.86,Moderate
ASSOC02612,GENE0724,DIS0479,0.99,Strong
ASSOC02613,GENE0153,DIS0022,0.68,Moderate
ASSOC02614,GENE1098,DIS0016,0.53,Strong
ASSOC02615,GENE0018,DIS0494,0.77,Emerging
ASSOC02616,GENE0779,DIS0327,0.97,Strong
ASSOC02617,GENE1295,DIS0073,0.64,Moderate
ASSOC02618,GENE0909,DIS0266,0.62,Emerging
ASSOC02619,GENE0627,DIS0245,0.67,Moderate
ASSOC02620,GENE0653,DIS0161,0.61,Strong
ASSOC02621,GENE0393,DIS0234,0.58,Emerging
ASSOC02622,GENE1348,DIS0246,0.54,Strong
ASSOC02623,GENE0727,DIS0416,0.66,Moderate
ASSOC02624,GENE0707,DIS0251,0.7,Emerging
ASSOC02625,GENE1368,DIS0247,0.57,Strong
ASSOC02626,GENE0444,DIS0376,0.6,Moderate
ASSOC02627,GENE0483,DIS0436,0.98,Moderate
ASSOC02628,GENE0816,DIS0356,0.8,Strong
ASSOC02629,GENE0436,DIS0215,0.56,Moderate
ASSOC02630,GENE1242,DIS0084,0.97,Emerging
ASSOC02631,GENE1039,DIS0396,0.63,Moderate
ASSOC02632,GENE1357,DIS0380,0.57,Emerging
ASSOC02633,GENE0236,DIS0496,0.72,Strong
ASSOC02634,GENE0484,DIS0149,0.53,Moderate
ASSOC02635,GENE0024,DIS0072,0.97,Emerging
ASSOC02636,GENE0749,DIS0108,0.7,Emerging
ASSOC02637,GENE1343,DIS0454,0.95,Emerging
ASSOC02638,GENE0064,DIS0076,0.79,Moderate
ASSOC02639,GENE0605,DIS0021,0.62,Moderate
ASSOC02640,GENE1329,DIS0420,0.92,Strong
ASSOC02641,GENE1062,DIS0012,0.53,Strong
ASSOC02642,GENE0922,DIS0163,0.55,Moderate
ASSOC02643,GENE0010,DIS0010,0.55,Strong
ASSOC02644,GENE0106,DIS0135,0.97,Strong
ASSOC02645,GENE1259,DIS0305,0.95,Emerging
ASSOC02646,GENE1210,DIS0026,0.69,Moderate
ASSOC02647,GENE1332,DIS0215,0.69,Moderate
ASSOC02648,GENE0824,DIS0105,0.86,Strong
ASSOC02649,GENE0303,DIS0273,0.63,Moderate
ASSOC02650,GENE0587,DIS0330,0.58,Moderate
ASSOC02651,GENE1461,DIS0393,0.51,Strong
ASSOC02652,GENE1270,DIS0152,0.94,Emerging
ASSOC02653,GENE0547,DIS0394,0.56,Moderate
ASSOC02654,GENE1001,DIS0329,0.53,Emerging
ASSOC02655,GENE0023,DIS0315,0.93,Moderate
ASSOC02656,GENE0628,DIS0403,0.85,Moderate
ASSOC02657,GENE0856,DIS0138,0.67,Emerging
ASSOC02658,GENE0300,DIS0165,0.97,Moderate
ASSOC02659,GENE0217,DIS0410,0.95,Emerging
ASSOC02660,GENE0176,DIS0131,0.54,Moderate
ASSOC02661,GENE1168,DIS0230,0.78,Strong
ASSOC02662,GENE0720,DIS0334,0.64,Strong
ASSOC02663,GENE0099,DIS0456,0.78,Strong
ASSOC02664,GENE0502,DIS0299,0.66,Moderate
ASSOC02665,GENE0641,DIS0275,0.81,Moderate
ASSOC02666,GENE1273,DIS0033,0.76,Moderate
ASSOC02667,GENE0557,DIS0184,0.53,Emerging
ASSOC02668,GENE1079,DIS0256,0.67,Moderate
ASSOC02669,GENE0047,DIS0466,0.55,Emerging
ASSOC02670,GENE0216,DIS0245,0.71,Strong
ASSOC02671,GENE0584,DIS0335,0.95,Strong
ASSOC02672,GENE0106,DIS0225,0.69,Strong
ASSOC02673,GENE1403,DIS0073,0.55,Moderate
ASSOC02674,GENE1130,DIS0448,0.74,Moderate
ASSOC02675,GENE0039,DIS0291,0.53,Moderate
ASSOC02676,GENE0446,DIS0298,0.76,Moderate
ASSOC02677,GENE1145,DIS0444,0.8,Strong
ASSOC02678,GENE1438,DIS0096,0.77,Strong
ASSOC02679,GENE0808,DIS0059,0.58,Strong
ASSOC02680,GENE1000,DIS0449,0.95,Strong
ASSOC02681,GENE1242,DIS0076,0.52,Emerging
ASSOC02682,GENE0573,DIS0081,0.87,Strong
ASSOC02683,GENE1391,DIS0471,0.85,Strong
ASSOC02684,GENE0210,DIS0155,0.82,Moderate
ASSOC02685,GENE0660,DIS0155,0.75,Strong
ASSOC02686,GENE1491,DIS0221,0.83,Emerging
ASSOC02687,GENE1315,DIS0384,0.61,Emerging
ASSOC02688,GENE0278,DIS0194,0.91,Emerging
ASSOC02689,GENE1201,DIS0076,0.71,Moderate
ASSOC02690,GENE1105,DIS0324,0.56,Emerging
ASSOC02691,GENE0333,DIS0092,0.69,Strong
ASSOC02692,GENE0250,DIS0427,0.87,Strong
ASSOC02693,GENE0311,DIS0212,0.85,Strong
ASSOC02694,GENE1473,DIS0422,0.84,Moderate
ASSOC02695,GENE0295,DIS0036,0.77,Emerging
ASSOC02696,GENE0416,DIS0253,0.93,Strong
ASSOC02697,GENE0655,DIS0186,0.88,Moderate
ASSOC02698,GENE0178,DIS0399,0.94,Emerging
ASSOC02699,GENE0407,DIS0182,0.87,Moderate
ASSOC02700,GENE0702,DIS0197,0.63,Strong
ASSOC02701,GENE1310,DIS0379,0.72,Moderate
ASSOC02702,GENE1125,DIS0035,0.91,Strong
ASSOC02703,GENE0646,DIS0484,0.6,Emerging
ASSOC02704,GENE0886,DIS0312,0.73,Strong
ASSOC02705,GENE0095,DIS0071,0.63,Moderate
ASSOC02706,GENE0249,DIS0400,0.86,Strong
ASSOC02707,GENE0514,DIS0332,0.63,Emerging
ASSOC02708,GENE1180,DIS0120,0.64,Strong
ASSOC02709,GENE0740,DIS0093,0.72,Emerging
ASSOC02710,GENE0605,DIS0030,0.89,Emerging
ASSOC02711,GENE1199,DIS0155,0.94,Strong
ASSOC02712,GENE1472,DIS0365,0.98,Emerging
ASSOC02713,GENE0490,DIS0330,0.65,Emerging
ASSOC02714,GENE0141,DIS0378,0.88,Emerging
ASSOC02715,GENE0628,DIS0218,0.66,Moderate
ASSOC02716,GENE0916,DIS0010,0.89,Moderate
ASSOC02717,GENE0511,DIS0141,0.78,Emerging
ASSOC02718,GENE0456,DIS0419,0.77,Strong
ASSOC02719,GENE0637,DIS0299,0.86,Strong
ASSOC02720,GENE0150,DIS0309,0.7,Emerging
ASSOC02721,GENE0597,DIS0363,0.55,Strong
ASSOC02722,GENE1102,DIS0387,0.83,Strong
ASSOC02723,GENE1404,DIS0117,0.87,Emerging
ASSOC02724,GENE1283,DIS0481,0.75,Strong
ASSOC02725,GENE0763,DIS0093,0.58,Emerging
ASSOC02726,GENE0612,DIS0313,0.94,Moderate
ASSOC02727,GENE1088,DIS0035,0.65,Emerging
ASSOC02728,GENE0629,DIS0477,0.81,Moderate
ASSOC02729,GENE1020,DIS0212,0.91,Strong
ASSOC02730,GENE0538,DIS0109,0.77,Strong
ASSOC02731,GENE0094,DIS0068,0.96,Strong
ASSOC02732,GENE1062,DIS0149,0.94,Strong
ASSOC02733,GENE0736,DIS0151,0.8,Strong
ASSOC02734,GENE0795,DIS0126,0.55,Emerging
ASSOC02735,GENE1274,DIS0399,0.88,Strong
ASSOC02736,GENE1082,DIS0377,0.56,Strong
ASSOC02737,GENE0398,DIS0120,0.79,Moderate
ASSOC02738,GENE0468,DIS0132,0.83,Moderate
ASSOC02739,GENE0893,DIS0107,0.53,Emerging
ASSOC02740,GENE1439,DIS0373,0.68,Moderate
ASSOC02741,GENE0595,DIS0244,0.96,Moderate
ASSOC02742,GENE0725,DIS0406,0.88,Strong
ASSOC02743,GENE0697,DIS0093,0.94,Emerging
ASSOC02744,GENE1379,DIS0288,0.86,Emerging
ASSOC02745,GENE1304,DIS0460,0.96,Moderate
ASSOC02746,GENE0156,DIS0150,0.62,Moderate
ASSOC02747,GENE0228,DIS0253,0.71,Emerging
ASSOC02748,GENE0119,DIS0332,0.56,Emerging
ASSOC02749,GENE1498,DIS0141,0.87,Moderate
ASSOC02750,GENE0582,DIS0261,0.89,Moderate
ASSOC02752,GENE0598,DIS0079,0.77,Moderate
ASSOC02753,GENE0193,DIS0122,0.85,Strong
ASSOC02754,GENE0414,DIS0120,0.76,Moderate
ASSOC02755,GENE0128,DIS0424,0.65,Emerging
ASSOC02756,GENE0687,DIS0044,0.72,Moderate
ASSOC02757,GENE0079,DIS0420,0.86,Moderate
ASSOC02758,GENE1225,DIS0401,0.84,Moderate
ASSOC02759,GENE1165,DIS0342,0.85,Strong
ASSOC02760,GENE0760,DIS0345,0.78,Strong
ASSOC02761,GENE0459,DIS0243,0.62,Emerging
ASSOC02762,GENE0308,DIS0487,0.8,Emerging
ASSOC02763,GENE0214,DIS0009,0.63,Strong
ASSOC02764,GENE1465,DIS0147,0.87,Emerging
ASSOC02765,GENE1030,DIS0365,0.96,Emerging
ASSOC02766,GENE0847,DIS0078,0.73,Moderate
ASSOC02767,GENE1283,DIS0274,0.52,Moderate
ASSOC02768,GENE0432,DIS0465,0.64,Moderate
ASSOC02769,GENE1202,DIS0029,0.84,Strong
ASSOC02770,GENE1448,DIS0260,0.79,Emerging
ASSOC02771,GENE1059,DIS0360,0.88,Moderate
ASSOC02772,GENE0788,DIS0377,0.97,Strong
ASSOC02773,GENE0177,DIS0211,0.9,Moderate
ASSOC02774,GENE1082,DIS0246,0.59,Moderate
ASSOC02775,GENE0484,DIS0269,0.97,Emerging
ASSOC02776,GENE0687,DIS0476,0.71,Strong
ASSOC02777,GENE0052,DIS0444,0.51,Strong
ASSOC02778,GENE0276,DIS0334,0.88,Strong
ASSOC02779,GENE0627,DIS0190,0.53,Emerging
ASSOC02780,GENE0376,DIS0029,0.56,Strong
ASSOC02781,GENE1311,DIS0042,0.63,Emerging
ASSOC02782,GENE0338,DIS0294,0.74,Emerging
ASSOC02783,GENE0052,DIS0432,0.54,Emerging
ASSOC02784,GENE0574,DIS0419,0.77,Emerging
ASSOC02785,GENE1405,DIS0191,0.7,Strong
ASSOC02786,GENE0723,DIS0411,0.72,Moderate
ASSOC02787,GENE0577,DIS0029,0.82,Moderate
ASSOC02788,GENE0722,DIS0222,0.79,Strong
ASSOC02789,GENE0859,DIS0267,0.54,Moderate
ASSOC02790,GENE0529,DIS0248,0.68,Emerging
ASSOC02791,GENE0467,DIS0034,0.63,Emerging
ASSOC02792,GENE0244,DIS0059,0.83,Moderate
ASSOC02793,GENE0533,DIS0308,0.91,Emerging
ASSOC02794,GENE0330,DIS0034,0.91,Emerging
ASSOC02795,GENE0735,DIS0384,0.65,Strong
ASSOC02796,GENE0100,DIS0128,0.94,Strong
ASSOC02797,GENE0362,DIS0473,0.67,Moderate
ASSOC02798,GENE1057,DIS0130,0.86,Strong
ASSOC02799,GENE0059,DIS0474,0.67,Strong
ASSOC02800,GENE1033,DIS0401,0.93,Moderate
ASSOC02801,GENE0206,DIS0179,0.92,Emerging
ASSOC02802,GENE0764,DIS0104,0.75,Emerging
ASSOC02803,GENE0289,DIS0149,0.74,Emerging
ASSOC02804,GENE0360,DIS0241,0.76,Moderate
ASSOC02805,GENE0738,DIS0245,0.66,Moderate
ASSOC02806,GENE0903,DIS0458,0.95,Emerging
ASSOC02807,GENE1156,DIS0372,0.74,Emerging
ASSOC02808,GENE0588,DIS0019,0.57,Moderate
ASSOC02809,GENE1085,DIS0318,0.74,Strong
ASSOC02810,GENE0380,DIS0328,0.9,Strong
ASSOC02811,GENE1133,DIS0214,0.61,Strong
ASSOC02812,GENE0600,DIS0133,0.82,Strong
ASSOC02813,GENE0175,DIS0088,0.96,Moderate
ASSOC02814,GENE1399,DIS0060,0.54,Strong
ASSOC02815,GENE0783,DIS0098,0.75,Emerging
ASSOC02816,GENE1026,DIS0243,0.5,Moderate
ASSOC02817,GENE1277,DIS0105,0.61,Moderate
ASSOC02818,GENE0304,DIS0434,0.9,Moderate
ASSOC02819,GENE1397,DIS0082,0.92,Strong
ASSOC02820,GENE0687,DIS0241,0.52,Strong
ASSOC02821,GENE0267,DIS0154,0.91,Strong
ASSOC02822,GENE1333,DIS0179,0.8,Moderate
ASSOC02823,GENE0618,DIS0372,0.76,Emerging
ASSOC02824,GENE1449,DIS0185,0.56,Strong
ASSOC02825,GENE0681,DIS0359,0.84,Strong
ASSOC02826,GENE0562,DIS0002,0.96,Emerging
ASSOC02827,GENE0795,DIS0103,0.62,Strong
ASSOC02828,GENE0693,DIS0148,0.82,Strong
ASSOC02829,GENE0565,DIS0347,0.71,Moderate
ASSOC02830,GENE0463,DIS0007,0.52,Emerging
ASSOC02831,GENE0729,DIS0355,0.77,Moderate
ASSOC02832,GENE0236,DIS0026,0.67,Moderate
ASSOC02833,GENE0050,DIS0265,0.69,Strong
ASSOC02834,GENE1378,DIS0228,0.96,Strong
ASSOC02835,GENE0922,DIS0250,0.9,Emerging
ASSOC02836,GENE0549,DIS0381,0.74,Strong
ASSOC02837,GENE1153,DIS0166,0.72,Strong
ASSOC02838,GENE0667,DIS0276,0.56,Moderate
ASSOC02839,GENE0851,DIS0160,0.91,Moderate
ASSOC02840,GENE1371,DIS0275,0.93,Moderate
ASSOC02841,GENE0687,DIS0280,0.82,Moderate
ASSOC02842,GENE0610,DIS0319,0.72,Strong
ASSOC02843,GENE0526,DIS0480,0.82,Strong
ASSOC02844,GENE1184,DIS0188,0.64,Strong
ASSOC02845,GENE1153,DIS0029,0.89,Moderate
ASSOC02846,GENE0767,DIS0412,0.66,Moderate
ASSOC02847,GENE1158,DIS0131,0.72,Strong
ASSOC02848,GENE1264,DIS0230,0.81,Strong
ASSOC02849,GENE0915,DIS0230,0.68,Strong
ASSOC02850,GENE0175,DIS0400,0.83,Emerging
ASSOC02851,GENE0257,DIS0214,0.8,Strong
ASSOC02852,GENE0569,DIS0451,0.51,Emerging
ASSOC02853,GENE1312,DIS0021,0.73,Strong
ASSOC02854,GENE1461,DIS0270,0.53,Strong
ASSOC02855,GENE0915,DIS0361,0.77,Emerging
ASSOC02856,GENE0583,DIS0389,0.77,Strong
ASSOC02857,GENE0840,DIS0481,0.59,Emerging
ASSOC02858,GENE0914,DIS0176,0.62,Strong
ASSOC02859,GENE0979,DIS0209,0.63,Emerging
ASSOC02860,GENE0754,DIS0319,0.55,Emerging
ASSOC02861,GENE1103,DIS0127,0.98,Moderate
ASSOC02862,GENE0249,DIS0108,0.61,Strong
ASSOC02863,GENE0759,DIS0274,0.92,Emerging
ASSOC02864,GENE0322,DIS0130,0.93,Moderate
ASSOC02865,GENE0685,DIS0059,0.72,Moderate
ASSOC02866,GENE1039,DIS0219,0.89,Strong
ASSOC02867,GENE0403,DIS0326,0.83,Strong
ASSOC02868,GENE1441,DIS0031,0.94,Strong
ASSOC02869,GENE0557,DIS0182,0.52,Moderate
ASSOC02870,GENE0590,DIS0289,0.61,Strong
ASSOC02871,GENE0680,DIS0131,0.88,Strong
ASSOC02872,GENE0563,DIS0171,0.57,Moderate
ASSOC02873,GENE0490,DIS0067,0.96,Strong
ASSOC02874,GENE0834,DIS0429,0.64,Emerging
ASSOC02875,GENE0533,DIS0432,0.66,Moderate
ASSOC02876,GENE0423,DIS0262,0.83,Strong
ASSOC02877,GENE0921,DIS0067,0.56,Strong
ASSOC02878,GENE1383,DIS0009,0.83,Moderate
ASSOC02879,GENE1179,DIS0457,0.84,Emerging
ASSOC02880,GENE0903,DIS0473,0.62,Strong
ASSOC02881,GENE1273,DIS0221,0.66,Emerging
ASSOC02882,GENE1238,DIS0165,0.74,Strong
ASSOC02883,GENE0919,DIS0092,0.71,Emerging
ASSOC02884,GENE1267,DIS0096,0.65,Emerging
ASSOC02885,GENE0556,DIS0146,0.97,Strong
ASSOC02886,GENE0454,DIS0036,0.8,Moderate
ASSOC02887,GENE0935,DIS0403,0.61,Strong
ASSOC02888,GENE1243,DIS0365,0.83,Moderate
ASSOC02889,GENE1219,DIS0391,0.68,Moderate
ASSOC02890,GENE0609,DIS0115,0.93,Strong
ASSOC02891,GENE0756,DIS0380,0.51,Strong
ASSOC02892,GENE0024,DIS0311,0.83,Moderate
ASSOC02893,GENE0653,DIS0356,0.63,Strong
ASSOC02894,GENE1153,DIS0108,0.59,Moderate
ASSOC02895,GENE0864,DIS0035,0.7,Emerging
ASSOC02896,GENE1430,DIS0171,0.89,Moderate
ASSOC02897,GENE1410,DIS0377,0.54,Strong
ASSOC02898,GENE0490,DIS0442,0.81,Moderate
ASSOC02899,GENE0171,DIS0129,0.87,Emerging
ASSOC02900,GENE1131,DIS0262,0.97,Strong
ASSOC02901,GENE0081,DIS0378,0.74,Strong
ASSOC02902,GENE0231,DIS0257,0.7,Emerging
ASSOC02903,GENE1013,DIS0204,0.54,Strong
ASSOC02904,GENE0073,DIS0205,0.59,Moderate
ASSOC02905,GENE0484,DIS0252,0.86,Strong
ASSOC02906,GENE0529,DIS0124,0.95,Emerging
ASSOC02907,GENE0791,DIS0094,0.71,Emerging
ASSOC02908,GENE0408,DIS0348,0.64,Strong
ASSOC02909,GENE0118,DIS0410,0.75,Strong
ASSOC02910,GENE0457,DIS0140,0.9,Emerging
ASSOC02911,GENE1189,DIS0463,0.94,Moderate
ASSOC02912,GENE0446,DIS0385,0.68,Strong
ASSOC02913,GENE0961,DIS0237,0.52,Moderate
ASSOC02914,GENE1093,DIS0101,0.85,Emerging
ASSOC02915,GENE0957,DIS0482,0.83,Strong
ASSOC02916,GENE1363,DIS0162,0.64,Emerging
ASSOC02917,GENE0608,DIS0238,0.5,Emerging
ASSOC02918,GENE0365,DIS0191,0.82,Strong
ASSOC02919,GENE1216,DIS0050,0.61,Emerging
ASSOC02920,GENE1393,DIS0460,0.83,Strong
ASSOC02921,GENE1483,DIS0386,0.62,Emerging
ASSOC02922,GENE0035,DIS0448,0.6,Moderate
ASSOC02923,GENE1138,DIS0280,0.97,Moderate
ASSOC02924,GENE0369,DIS0320,0.56,Strong
ASSOC02925,GENE0774,DIS0013,0.77,Emerging
ASSOC02926,GENE0510,DIS0416,0.51,Strong
ASSOC02927,GENE1026,DIS0083,0.59,Emerging
ASSOC02928,GENE1329,DIS0433,0.82,Emerging
ASSOC02929,GENE1123,DIS0420,0.7,Emerging
ASSOC02930,GENE0402,DIS0048,0.6,Strong
ASSOC02931,GENE0307,DIS0460,0.52,Moderate
ASSOC02932,GENE1320,DIS0177,0.54,Emerging
ASSOC02933,GENE1351,DIS0145,0.55,Strong
ASSOC02934,GENE1207,DIS0475,0.61,Moderate
ASSOC02935,GENE0919,DIS0078,0.61,Moderate
ASSOC02936,GENE0309,DIS0257,0.67,Emerging
ASSOC02937,GENE0783,DIS0163,0.5,Moderate
ASSOC02938,GENE1168,DIS0374,0.66,Moderate
ASSOC02939,GENE0291,DIS0431,0.79,Emerging
ASSOC02940,GENE1341,DIS0088,0.72,Strong
ASSOC02941,GENE0566,DIS0410,0.76,Moderate
ASSOC02942,GENE1181,DIS0351,0.63,Moderate
ASSOC02943,GENE0718,DIS0434,0.8,Moderate
ASSOC02944,GENE0171,DIS0355,0.94,Emerging
ASSOC02945,GENE1102,DIS0246,0.9,Strong
ASSOC02946,GENE1110,DIS0011,0.96,Strong
ASSOC02947,GENE0259,DIS0166,0.57,Emerging
ASSOC02948,GENE0592,DIS0148,0.54,Moderate
ASSOC02949,GENE0108,DIS0475,0.71,Strong
ASSOC02950,GENE0864,DIS0111,0.91,Emerging
ASSOC02951,GENE0832,DIS0320,0.77,Emerging
ASSOC02952,GENE1054,DIS0423,0.71,Emerging
ASSOC02953,GENE0679,DIS0391,0.8,Strong
ASSOC02954,GENE0963,DIS0329,0.95,Moderate
ASSOC02955,GENE0263,DIS0373,0.96,Strong
ASSOC02956,GENE0685,DIS0406,0.85,Strong
ASSOC02957,GENE1051,DIS0439,0.67,Strong
ASSOC02958,GENE0484,DIS0213,0.98,Moderate
ASSOC02959,GENE0164,DIS0308,0.71,Moderate
ASSOC02960,GENE0429,DIS0371,0.57,Emerging
ASSOC02961,GENE0361,DIS0219,0.9,Strong
ASSOC02962,GENE1411,DIS0493,0.74,Moderate
ASSOC02963,GENE0278,DIS0374,0.83,Strong
ASSOC02964,GENE0881,DIS0174,0.73,Moderate
ASSOC02965,GENE0352,DIS0461,0.66,Moderate
ASSOC02966,GENE0309,DIS0154,0.88,Strong
ASSOC02967,GENE0076,DIS0012,0.63,Strong
ASSOC02968,GENE0657,DIS0352,0.91,Strong
ASSOC02969,GENE0571,DIS0354,0.85,Moderate
ASSOC02970,GENE0265,DIS0169,0.76,Emerging
ASSOC02971,GENE0168,DIS0025,0.76,Strong
ASSOC02972,GENE1003,DIS0124,0.96,Emerging
ASSOC02973,GENE1228,DIS0167,0.68,Moderate
ASSOC02974,GENE0066,DIS0319,0.5,Emerging
ASSOC02975,GENE0741,DIS0248,0.87,Emerging
ASSOC02976,GENE0610,DIS0139,0.56,Moderate
ASSOC02977,GENE0662,DIS0035,0.82,Strong
ASSOC02978,GENE0446,DIS0163,0.77,Emerging
ASSOC02979,GENE0138,DIS0257,0.75,Moderate
ASSOC02980,GENE0024,DIS0113,0.87,Emerging
ASSOC02981,GENE0337,DIS0390,0.97,Strong
ASSOC02982,GENE1345,DIS0418,0.65,Strong
ASSOC02983,GENE1423,DIS0491,0.52,Emerging
ASSOC02984,GENE0842,DIS0320,0.7,Emerging
ASSOC02985,GENE0252,DIS0169,0.65,Moderate
ASSOC02986,GENE1403,DIS0184,0.53,Moderate
ASSOC02987,GENE0296,DIS0048,0.61,Moderate
ASSOC02988,GENE0628,DIS0043,0.93,Emerging
ASSOC02989,GENE1282,DIS0244,0.63,Emerging
ASSOC02990,GENE0079,DIS0108,0.51,Moderate
ASSOC02991,GENE0871,DIS0012,0.7,Emerging
ASSOC02992,GENE1043,DIS0008,0.8,Moderate
