pathway_id,pathway_name,description
PATH0286,Biological Pathway 286,"Pathway 286 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0287,Biological Pathway 287,"Pathway 287 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0288,Biological Pathway 288,"Pathway 288 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0289,Biological Pathway 289,"Pathway 289 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0290,Biological Pathway 290,"Pathway 290 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0291,Biological Pathway 291,"Pathway 291 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0292,Biological Pathway 292,"Pathway 292 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0293,Biological Pathway 293,"Pathway 293 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0294,Biological Pathway 294,"Pathway 294 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0295,Biological Pathway 295,"Pathway 295 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0296,Biological Pathway 296,"Pathway 296 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0297,Biological Pathway 297,"Pathway 297 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0298,Biological Pathway 298,"Pathway 298 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0299,Biological Pathway 299,"Pathway 299 involved in cellular signaling, metabolism, and disease mechanisms."
PATH0300,Biological Pathway 300,"Pathway 300 involved in cellular signaling, metabolism, and disease mechanisms."
